Account Name,Account Record Type: Record Type ID,Status,Phone,Practice,Subcategory,Account Source,Email,Tier,National Account,Child of National,Drive Down,Drive Down Plan in Place,Contract Type,Number of Active Contracts,Billing Street,Billing City,BillingStateCodeFormula,Billing Zip/Postal Code,BillingCountryCodeFormula,Account Owner: User ID,Parent Account: Account Name,Bill To,Protocols: ACM Testing,Protocols: Billing,Protocols: Adjusters,Protocols: Broker,Protocols: DFRs,Protocols: Portal,Protocols: Pricing,Protocols: Special Concerns,Protocols: Work Auth/PO,Overwrite Child Protocols,Tax Exempt,Billing Contact,Billing Phone,Billing Email,Account Currency,Account Owner: Active
Beauregard Parish School Board,0121U000000b3yt,Active, ,Government,Education - K-12, , ,Tier 4,No,No,No,No,CWA Only,0,West 3rd Street,DeRidder,LA,70634,US,0051U000006JQgh, , , , , , , , , , , , ,0, , , ,USD,1
BGIS - TD Bank,0121U000000b3yt,Prospect, ,Retail,Bank/Financial,Repeat Client, ,Tier 4,No,Yes,No,No,Covered by Parent,0, , , , , ,0051U000006AIuo,BGIS - U.S., , , , , , , , , , , ,0, , , ,USD,1
Bracken County Schools,0121U000000b3yt,Prospect,606-735-2523,Government,Education - K-12,Third Party Administrator - Program Losses,jeff.aulick@bracken.kyschools.us,Tier 4,No,No,Yes,Yes,CWA Only,0,350 West Miami Street,Brooksville,KY,41004,US,0051U000008kPZg, , , , ,Referred by Liberty Mutual adjuster Kraig Schindler, , , ,2017 Pricing applies for restoration over\n$50k and reconstruction over $500k\nOtherwise it has to be written in\nCoreLogic Mobile Claims, , , ,0, , , ,USD,1
Chatham Wood,0121U000000b3yt,Prospect, ,Multi-Family,Property Management, , ,Tier 4,No,No,No,No,CWA Only,0, , , , , ,0051U000008xF2D, , , , , , , , , , , , ,0, , , ,USD,1
Civitas Senior Living - DFW,0121U000000b3yt,Prospect,(817) 386-8888,Hospitality,Active Senior Living, , ,Tier 4,No,No,Yes,Yes,CWA Only,0, , , , , ,0051U000008l4QU,Civitas Senior Living, , ,"email invoices to : cc@csrliving.com Corporate Mailing Address: 930 W 1st, Suite 400 Fort Worth, TX 76102", , , , , , , , ,0, , , ,USD,1
Costco - Texas,0121U000000b3yt,Prospect, ,Retail,Franchise/Chain Retail, ,w106adm@costco.com,Tier 4,No,Yes,Yes,No,Covered by Parent,0,1701 Dallas Parkway,Plano,TX,75093,US,0051U000007MRIn,Costco, , ,Backup for invoices required for Interstate Billing is required.\nCustomer does not need AWO.\nInvoices are emailed to Covid19.invoicing@costco.com.\nEvery invoice also includes Job Location.-Check Salesforce notes for workflow and protocols, , ,"For Covid Reactive, DFR not required.\nFor Covid Proactive all other types of work, DFR is needed.\nSend to Site Contact w CC to Dan Martinez, Ashley Dykeman, Joel Marcus of Costco + Greg Tabak and Greg Lindsley",#NAME?,Std T&M rates for both Interstate and FirstOnSite--Check Salesforce notes for workflow and protocols," -Check Salesforce notes for workflow and protocols.\nPlease note: Supporting documentation is required for every invoice request.\nInvoice requests will not be processed without the supporting documentation.\nOnce the invoice is reviewed and approved,",Either Corporate Risk Management or Site Management can authorize work-Check Salesforce notes for workflow and protocols, ,0, , , ,USD,1
Cushman & Wakefield - Alabama,0121U000000b3yt,Prospect, ,Facility Management,Commercial Facility Mgr,Referral, ,Tier 3,No,Yes,Yes,No,Covered by Parent,0,"2100 3rd Avenue North, Suite 700",Birmingham,AL,35203,US,0051U0000062Dew,Cushman & Wakefield Inc. - Non-Corporate, ,Standard First On Site procedures, , , ,Per job sent to site contacts., ,CW receives a 5% rebate that is not discussed with the site personnel. This is handled at CW corp and does not hit your job.,Standard SOP's apply. The site will dictate any needs outside of our norm.,Work Auth per job, ,0, , , ,USD,1
Cushman & Wakefield - iheart Media,0121U000000b3yt,Active,917.363.3736,Facility Management,Commercial Property Mgr, , ,Tier 4,No,No,No,No,CWA Only,0,225 W Wacker Dr Ste 3000,Chicago,IL,60606-3007,US,0051U0000062Df6,Cushman & Wakefield - Corporate Accounts,Email, , , , , , , , , , ,0,Molly Winkler,917.363.3736,mollywinkler@iheartmedia.com,USD,1
"DWS/RREEF Management - Atlanta, Georgia",0121U000000b3yt,Active,(800) 621-1148,Multi-Family,Ownership/REIT, , ,Tier 4,No,No,Yes,Yes,CWA Only,0,Bill to Property directly, , , ,US,0051U000006A59u,DWS/RREEF Management LLC,Account,All ACM\nis handled by DWS/RREEF - they have their own list of approved IH's to engage.,"INVOICE GOES TO PROPERTY MANAGER AT THE PROPERTY ADDRESS NOT TO DWS RREEF OFFICE IN CHICAGO. \n* Heights at Park Lane, Dallas please see uploaded file for specific protocol *","Mike Allen, McLarens - Account Adjuster",Epic,"DFR's to established distro - to include property manager, DWS/RREEF contact(s),\ncc: Cindy and drivedown BD when applicable",n/a,2020 TM,** 100K deductible - ALL invoices over 100K with be sent to adjuster and consultant for review\n** \nDaily DFR's including weekends & holidays,AWO per site (their form is used - per location) \nOur AWO Env should be signed for all COVID19 jobs,ACM Testing; Billing; DFRs; Pricing; Special Concerns; Work Auth/PO,0,Property Manager, , ,USD,1
"DWS/RREEF Management - Austin, Texas",0121U000000b3yt,Active,(800) 621-1148,Multi-Family,Ownership/REIT, , ,Tier 3,No,No,Yes,Yes,CWA Only,0,Bill to Property directly, , , ,US,0051U000007mJ42,DWS/RREEF Management LLC,Account,All ACM\nis handled by DWS/RREEF - they have their own list of approved IH's to engage.,"INVOICE GOES TO PROPERTY MANAGER AT THE PROPERTY ADDRESS NOT TO DWS RREEF OFFICE IN CHICAGO.  * Heights at Park Lane, Dallas please see uploaded file for specific protocol *","Mike Allen, McLarens - Account Adjuster",Epic,"DFR's to established distro - to include property manager, DWS/RREEF contact(s),\ncc: Cindy and drivedown BD when applicable",n/a,2020 TM,** 100K deductible - ALL invoices over 100K with be sent to adjuster and consultant for review\n** \nDaily DFR's including weekends & holidays,AWO per site (their form is used - per location) \nOur AWO Env should be signed for all COVID19 jobs,ACM Testing; Billing; DFRs; Pricing; Special Concerns; Work Auth/PO,0,Property Manager, , ,USD,1
