Job Name,Salesforce Number,Account Name,Job Number/Claim,Status,Created Date,Project Manager: User ID,Project Director: User ID,BD Account Manager: User ID,BD Account Manager 2: User ID,BD Account Manager 3: User ID,RM/CM/OM: User ID,Revised Contract Amount Currency,Revised Contract Amount,Budgeted Margin,Job Type: Job Type Name,Work Type,Branch: Name,Area Wide Event: Area Wide Name,Practice,Type of Facility,Actual Start Date,Substantial Work Completion Date,Actual Complete Date,Billing Contact Phone,Billing Contact Email,Bill To,Property Name,Account ID,Insurance Claim Number,Billing City,Billing State,Billing Zip/Postal Code,Billing Street,Billing Country,BD Account Manager: Active,BD Account Manager 2: Active,BD Account Manager 3: Active,AP Approver: Active,Project Director: Active,Project Manager: Active,RM/CM/OM: Active,Owner: Active,Property: Account Name,Revised Completion Date,Insurance Policy Number,Owner: Owner ID,,
Park at Crossroads Apartments Unit 2404_2021-10-25,486093,DWS/RREEF Management - North Carolina,,In Queue,1/3/22,,,0051U000006A59u,,,,USD,0,,Mitigation,Mold Remediation,Client Solutions,,Multi-Family,Ownership/REIT,,,,,,,Park at Crossroads Apartments Unit 2404,0011U00001zMumR,,,,,,,1,0,0,0,0,0,0,1,6000 Scarlet Sky Way Unit 2404 Cary NC 27518-9224  - Park at Crossroads Apartments Unit 2404,,,0051U000008lFHV,,"'6000 Scarlet Sky Way Unit 2404 Cary NC 27518-9224  - Park at Crossroads Apartments Unit 2404',"
"iHeart - Williamsport, PA Facility _2021-10-21",485879,Cushman & Wakefield - iheart Media,5008-21-E213,In Progress,1/3/22,0051U000007Q5EH,0051U000007Q5EH,0051U0000062Df6,,,0051U000007Q5EH,USD,0,,Leads,Water Remediation,Client Solutions,,Facility Management,Real Estate,,,,,MollyWinkler@iheartmedia.com,,"iHeart - Williamsport, PA Facility",0011U00001zMvuA,,Chicago,IL,60606,225 West Wacker Drive 3000,US,1,0,0,1,1,1,1,1,"1559 West 4th Street Williamsport PA 17701  - iHeart - Williamsport, PA Facility",,,0051U0000062Df6,,"'1559 West 4th Street Williamsport PA 17701  - iHeart - Williamsport, PA Facility',"
"iHeart Studios - Albany, GA_2021-10-11 14:58:08Z",485200,Cushman & Wakefield - iheart Media,2008-21-8817,AR Pending,1/3/22,0051U000008lQCR,0051U000008lQCR,0051U0000062Df6,,,0051U000006K6ul,USD,24774.25,,Mitigation,Water Remediation,Client Solutions,,Facility Management,Real Estate,10/9/21,,10/18/21,,,CUSH01,"iHeart Studios - Albany, GA",0011U00001zMvuA,,Chicago,IL,60606,225 West Wacker Drive 3000,US,1,0,0,1,1,1,1,1,"809 South Westover Boulevard Albany GA 31707  - iHeart Studios - Albany, GA",,,0051U0000062Df6,,"'809 South Westover Boulevard Albany GA 31707  - iHeart Studios - Albany, GA',"
93.1 WGMZ & 101.9 WAAX_2022-02-24,494479,Cushman & Wakefield - iheart Media,2008-22-2079,In Progress,1/3/22,0051U000007zbS9,0051U0000084KRc,0051U0000062Df6,,,,USD,0,,Construction,Board Up / Tarping,Client Solutions,,Facility Management,Commercial Property Mgr,2/25/22,,,917.363.3736,mollywinkler@iheartmedia.com,,93.1 WGMZ & 101.9 WAAX,0011U00001zMvuA,,Chicago,IL,60606-3007,225 W Wacker Dr Ste 3000,US,1,0,0,1,1,1,0,1,6510 Whorton Bend Road Gadsden AL 35901 - 93.1 WGMZ & 101.9 WAAX,,,0051U0000062Df6,,"'6510 Whorton Bend Road Gadsden AL 35901 - 93.1 WGMZ & 101.9 WAAX',"
Dollar General _2022-01-05,491891,SMS Assist - Dollar General,,In Queue,1/5/22,,,0051U000003qOA4,0051U0000065E4S,,,USD,0,,Mitigation,Water Remediation,Client Solutions,,Facility Management,Commercial Facility Mgr,,,,,,,,0011U00001zN8e8,,Chicago,IL,60610,875 North Michigan Avenue,US,1,1,0,0,0,0,0,1,107 I-55 South Frontage Road Terry MS 39170  - Dollar General - 07638,,,0051U000008lFHV,,"'107 I-55 South Frontage Road Terry MS 39170  - Dollar General - 07638',"
Dollar General #15167_2022-02-24,494480,SMS Assist - Dollar General,2008-22-1496,Work Complete,1/5/22,0051U000007zbS9,0051U000007zbS9,0051U0000065E4S,0051U0000065E4S,,,USD,600,,Mitigation,Biohazard,Client Solutions,,Facility Management,Commercial Facility Mgr,2/24/22,,3/1/22,,N/A,,SMS Dollar General #15167,0011U00001zN8e8,,Chicago,IL,60610,875 N Michigan Ave,US,1,1,0,1,1,1,0,1,2 Callahan Drive Pittsfield MA 01201 - Dollar General - 15167,,,0051U000007zbS9,,"'2 Callahan Drive Pittsfield MA 01201 - Dollar General - 15167',"
Bracken County High School_2022-01-06,491984,Bracken County Schools,2008-22-0727,AR Pending,1/5/22,,0051U000007Q5EH,0051U000008kPZg,0051U0000065E4S,,,USD,8430.62,,Mitigation,Water Remediation,Client Solutions,,Insurance,Carrier,1/10/22,,1/11/22,606-735-2523,jeff.aulick@bracken.kyschools.us,brac03,Bracken County High School,0011U00001zNAgp,801225210,Brooksville,KY,41004,350 West Miami Street,US,1,1,0,1,1,0,0,1,350 West Miami Street Brooksville KY 41004  - Bracken County High School,,,0051U000008kPZg,,"'350 West Miami Street Brooksville KY 41004  - Bracken County High School',"
Chatham Wood _2022-01-12,492502,Chatham Wood,,In Queue,1/12/22,,,0051U000008xF2D,,,,USD,0,,Mitigation,Fire/Smoke Removal,Client Solutions,,Multi-Family,Property Management,,,,,,,,0011U00001zNdlg,,,,,,,1,0,0,0,0,0,0,1,838 Lakecrest Avenue Apartment 1B High Point NC 27265 - Chatham Wood,,,0051U000008xF2D,,"'838 Lakecrest Avenue Apartment 1B High Point NC 27265 - Chatham Wood',"
Equinox Boston_2022-01-13,492620,Equinox,2008-22-0845,AR Pending,1/13/22,0051U000008wrku,0051U000008x75T,0051U000006xeMT,,,0051U00000807Mq,USD,6189.87,,Mitigation,Water Remediation,Client Solutions,,Facility Management,Commercial Facility Mgr,1/12/22,,1/15/22,212-774-6283,fran.pionegro@equinox.com,EQUI12,Equinox Boston,0011U00001zNkIA,,New York,NY,10001,31 Hudson Yards,US,1,0,0,0,1,1,1,1,27 Northern Avenue Boston MA 02210  - Equinox Boston,,,0051U000006xeMT,,"'27 Northern Avenue Boston MA 02210  - Equinox Boston',"
JLL - USPS Temp Fencing_2022-01-14,492640,Jones Lang Lasalle (JLL) - US Postal Service (USPS),2008-22-0029,In Progress,1/10/22,0051U000007zbS9,0051U000007zbS9,0051U0000065E4S,0051U0000065E4S,,0051U000006K6uR,USD,70000,,Mitigation,Climate Control / Equipment Rental Only,Client Solutions,,Facility Management,Commercial Facility Mgr,1/13/22,,,508-834-2684,ITServiceRequest.FinanceUSPS@am.jll.com,JLLP02,JLL - USPS Temp Fencing,0011U00001zNUR2,,,,,,,1,1,0,1,1,1,1,1,2020 K Street Northwest Washington DC 20006 - JLL,,,0051U000007zbS9,,"'2020 K Street Northwest Washington DC 20006 - JLL',"
