Account Name,Account Record Type: Record Type ID,Status,Phone,Practice,Subcategory,Account Source,Email,Tier,Drive Down,Contract Type,Number of Active Contracts,Billing Street,Billing City,National Account,BillingStateCodeFormula,Drive Down Plan in Place,Child of National,Billing Zip/Postal Code,BillingCountryCodeFormula,Account Owner: User ID,Account ID,Active
Amazon,0121U000000bHyv,Dormant,1-206-266-1000,Industrial/Manufacturing,"Distribution, Logistics, Wholesale",,,Tier 1,Yes,MSA Only,1,2111 7th Ave,Seattle,Yes,WA,No,No,98121-5114,US,0051U000006A5Bb,0011U00000p6WJh,0
BBX Capital Corporation,0121U000000bHyv,Active,1-954-940-4000,Hospitality,Hotel/Motel,,,Tier 4,Yes,CWA Only,0,401 E Las Olas Blvd Ste 800,Fort Lauderdale,No,FL,Yes,No,33301-2204,US,0051U00000682eB,0011U00001H20QV,0
Belmont Village Senior Living - Corporate,0121U000000bHyv,Active,(713) 463-1700,Healthcare,,,,Tier 4,Yes,CWA Only,0,7660 Woodway Dr Ste 400,Houston,No,TX,Yes,No,77063-1528,US,0051U000006A6ty,0011U00001GHgeB,0
BGIS - U.S.,0121U000000bHyv,Active,1-844-344-1777,Facility Management,Commercial Property Mgr,,tracey.deville@bgis.com,Tier 4,No,MSA Only,1,210 S Hudson St,Seattle,Yes,WA,No,No,98134-2417,US,0051U000006AIuo,0011U00001IHM8r,0
Billingsley Companies HQ,0121U000000bHyv,Signed,(972) 460-4706,Facility Management,Real Estate,Marketing Campaign,lblackwell@billingsleyco.com,Tier 4,No,CWA Only,0,1722 Routh St Ste 770,Dallas,No,TX,No,No,75201-2588,US,0051U000007QkHm,0011U00000p5ExW,0
Bridge Investment Group LLC,0121U000000bHyv,Prospect,+1 801-716-4500,Facility Management,Real Estate,,,Tier 4,No,CWA Only,0,111 E Sego Lily Dr,Sandy,No,UT,No,No,84070,US,0051U0000062vTa,0011U00001OvKtc,0
"Brookdale Senior Living, Inc.",0121U000000bHyv,Active,1-866-785-9025,Healthcare,Assisted Senior Living,,,Tier 1,Yes,MSA Only,1,111 Westwood Pl,Brentwood,Yes,TN,Yes,No,37027-5016,US,0051U0000062vTa,0011U00000TzkZ2,0
Brookfield Asset Management,0121U000000bHyv,Prospect,+1 212 417 7000,Facility Management,Real Estate,Individual,,Tier 4,No,CWA Only,0,"Brookfield Place\n250 Vesey Street, 15th Floor",new york,No,NY,No,No,28201,US,0051U0000065E4S,0011U00001mi1pn,0
CA Ventures,0121U000000bHyv,Active,1-312-994-1880,Facility Management,Commercial Property Mgr,,,Tier 4,Yes,CWA Only,0,"2401 East 2nd Avenue, Suite 500",Denver,No,CO,No,No,80206,US,0051U000006A5B7,0011U00000eBR1N,0
CBRE - Global Workplace Solutions - Corporate,0121U000000bHyv,Prospect,1-863-651-3635,Facility Management,Commercial Property Mgr,,,Tier 4,Yes,CWA Only,0,400 South Hope Street,Los Angeles,No,CA,Yes,No,90071,US,0051U000005QBB5,0011U00000eBQ8B,0
