Account Name,Account Record Type: Record Type ID,Status,Phone,Practice,Subcategory,Account Source,Email,Tier,National Account,Child of National,Drive Down,Drive Down Plan in Place,Contract Type,Number of Active Contracts,Billing Street,Billing City,BillingStateCodeFormula,Billing Zip/Postal Code,BillingCountryCodeFormula,Account Owner: User ID,Parent Account: Account Name,Bill To,Protocols: ACM Testing,Protocols: Billing,Protocols: Adjusters,Protocols: Broker,Protocols: DFRs,Protocols: Portal,Protocols: Pricing,Protocols: Special Concerns,Protocols: Work Auth/PO,Push Protocols Down,Tax Exempt,Billing Contact,Billing Phone,Billing Email,Account Currency,Property Street,Property City,PropertyStateCodeFormula,PropertyCountryCodeFormula,Property Zip/Postal Code,Active,Account Owner: Full Name,Account Owner: Active
107 I-55 South Frontage Road Terry MS 39170  - Dollar General - 07638,0121U000000bHyw,Prospect,  ,  ,  ,  ,  ,  ,  ,  ,Yes,No,   ,0,   ,   ,   ,   ,   ,0051U000008lFHV,SMS Assist - Dollar General,   ,Ask client if they have an IH or need a referral,List site location on invoice and bill to SMS corporate office.  Work order number should be on the invoice.  CORE must upload,n/a,n/a,DFRs need to be uploaded to SMS portal daily,SMS Assist SMS Portal,2019 T&M pricing  per last pricing they agreed upon.  WE can't charge for moisture meters..,"Do not start work until NTE is approved or increased by CORE also do not discuss price, scope, updates with their client.  All updates must only be made through the portal.",Work order from SMS portal will be issued IVR number 866-663-0866 must be called to check in or out or CORE can do so for you virtually if not available,   ,0,   ,   ,   ,USD,107 I-55 South Frontage Road,Terry,MS,US,39170,1,Matthew Brinkman,1
11800 Grant Road Cypress TX 77429  - MRR-The Point at Cypress Woods,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,Yes,   ,0,   ,   ,   ,   ,   ,0051U000005oMv1,Mission Rock Residential - Texas,   ,   ,Send all invoices directly to the RSMs for any projects we do,   ,   ,   ,Nexxus,   ,   ,   ,   ,0,   ,   ,   ,USD,11800 Grant Road,Cypress,TX,US,77429,1,Sergei Korneev,1
123 Main street Houston TX 77001  - Costco Houston,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,No,   ,0,   ,   ,   ,   ,   ,0051U000007MRIn,Costco - Texas,   ,   ,Backup for invoices required for Interstate Billing is required.  Customer does not need AWO.  Invoices are emailed to Covid19.invoicing@costco.com.  Every invoice also includes Job Location.-Check Salesforce notes for workflow and protocols,   ,   ,"For Covid Reactive, DFR not required.  For Covid Proactive all other types of work, DFR is needed.  Send to Site Contact w CC to Dan Martinez, Ashley Dykeman, Joel Marcus of Costco + Greg Tabak and Greg Lindsley", -Check Salesforce notes for workflow and protocols,Std T&M rates for both Interstate and FirstOnSite--Check Salesforce notes for workflow and protocols," -Check Salesforce notes for workflow and protocols.  Please note: Supporting documentation is required for every invoice request. Invoice requests will not be processed without the supporting documentation. Once the invoice is reviewed and approved,",Either Corporate Risk Management or Site Management can authorize work-Check Salesforce notes for workflow and protocols,   ,0,   ,   ,   ,USD,123 Main street,Houston,TX,US,77001,1,Greg Tabak,1
1400 Metrocenter Jackson MS 39209  - Sears #1106,0121U000000bHyw,   ,   ,  ,  ,  ,  ,  ,  ,  ,   ,   ,   ,0,   ,   ,   ,   ,   ,0051U000006A6uD,Sears,   ,   ,Eileen.templeman@Searshc.com;Dale.Menendez@searshc.com and CC-Ron Nardone/. Payment terms are 45 days from receipt of the invoice as per the MSA.,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,1400 Metrocenter,Jackson,MS,US,39209,1,Ron Nardone,1
148 Caryl Avenue Yonkers NY 10705,0121U000000bHyw,   ,   ,  ,  ,  ,  ,  ,  ,  ,   ,   ,   ,0,   ,   ,   ,   ,   ,0051U000006JptS,Hanover Insurance - A. Caryl Ave LLC,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,148 Caryl Avenue,Yonkers,NY,US,10705,1,Molly Drzazgowski,1
1525 East Maple Road Troy MI 48083 - Courtyard by Marriott,0121U000000bHyw,   ,   ,  ,  ,  ,  ,  ,  ,  ,   ,   ,   ,0,   ,   ,   ,   ,   ,0051U000008l6wX,Marriott International - Michigan,   ,N/A,Bill the property where the project occurs.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,   ,0,   ,   ,   ,USD,1525 East Maple Road,Troy,MI,US,48083,1,Erin Zuzik,1
1600 Euclid Avenue Cleveland OH 44115 - The Lumen,0121U000000bHyw,Prospect,2162797522,  ,  ,  ,  ,  ,  ,  ,   ,   ,   ,0,   ,   ,   ,   ,   ,0051U000006JYrh,Greystar - Ohio,   ,   ,   ,Mike Montgomery,Lockton,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,1600 Euclid Avenue,Cleveland,OH,US,44115,1,Jana Busch,1
178 Crown Pointe Willow Park TX 76087  - Clear Fork Civitas Senior Living,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,Yes,   ,0,   ,   ,   ,   ,   ,0051U000006A5C5,Civitas Senior Living - DFW,   ,   ,"email invoices to : cc@csrliving.com Corporate Mailing Address: 930 W 1st, Suite 400 Fort Worth, TX 76102",   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,178 Crown Pointe,Willow Park,TX,US,76087,1,Kim Hartz,1
2020 K Street Northwest Washington DC 20006 - JLL,0121U000000bHyw,Prospect,  ,  ,  ,  ,  ,  ,  ,  ,Yes,Yes,   ,0,   ,   ,   ,   ,   ,0051U000007zbS9,Jones Lang Lasalle (JLL) - US Postal Service (USPS),   ,Ask for referral,   ,unknown at this time.  Mgmt company so will need to find out.,unknown at this time.  Mgmt company so will need to find out.,Send to FM who assigned the loss.,n/a,JLL national pricing 2020 and 2% discount off each invoice if part if part of the contract,   ,Need addendum to MSA or at least an AWO signed.  In process of trying to get the addendum specific to this account signed,   ,0,   ,   ,   ,USD,2020 K Street Northwest,Washington,DC,US,20006,1,John Gressett,1
202 West 3rd Street DeRidder LA 70634,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,   ,   ,   ,0,   ,   ,   ,   ,   ,0051U000006JQgh,Beauregard Parish School Board,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,202 West 3rd Street,DeRidder,LA,US,70634,1,Nathan Goodell,1
27 Northern Avenue Boston MA 02210  - Equinox Boston,0121U000000bHyw,Prospect,  ,  ,  ,  ,  ,  ,  ,  ,   ,   ,   ,0,   ,   ,   ,   ,   ,0051U000006xeMT,Equinox,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,27 Northern Avenue,Boston,MA,US,2210,1,LaRisa Burrell,1
2 Callahan Drive Pittsfield MA 01201 - Dollar General - 15167,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,No,   ,0,   ,   ,   ,   ,   ,0051U0000065E4S,SMS Assist - Dollar General,   ,Ask client if they have an IH or need a referral,List site location on invoice and bill to SMS corporate office.  Work order number should be on the invoice.  CORE must upload,n/a,n/a,DFRs need to be uploaded to SMS portal daily,SMS Assist SMS Portal,2019 T&M pricing  per last pricing they agreed upon.  WE can't charge for moisture meters..,"Do not start work until NTE is approved or increased by CORE also do not discuss price, scope, updates with their client.  All updates must only be made through the portal.",Work order from SMS portal will be issued IVR number 866-663-0866 must be called to check in or out or CORE can do so for you virtually if not available,   ,0,   ,   ,   ,USD,2 Callahan Drive,Pittsfield,MA,US,1201,1,Kristy Kleto,1
303 South Main Street Flemington NJ 08822  - Raritan Township Fire Company,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,   ,   ,   ,0,   ,   ,   ,   ,   ,0051U000007jrj4,Raritan Township Fire Company,   ,   ,"303 S. Main St. Flemington, NJ 08822",Bruce Hess is the adjuster for the School and Raritan FD losses that require Scope of Work Letters before agreement with Scope & Pricing,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,303 South Main Street,Flemington,NJ,US,8822,1,John Vanwart,1
350 West Miami Street Brooksville KY 41004  - Bracken County High School,0121U000000bHyw,Prospect,  ,  ,  ,  ,  ,  ,  ,  ,Yes,Yes,   ,0,   ,   ,   ,   ,   ,0051U000008kPZg,Bracken County Schools,   ,   ,   ,Referred by Liberty Mutual adjuster Kraig Schindler,   ,   ,   ,2017 Pricing applies for restoration over $50k and reconstruction over $500k. Otherwise it has to be written in CoreLogic Mobile Claims,   ,   ,   ,0,   ,   ,   ,USD,350 West Miami Street,Brooksville,KY,US,41004,1,Michael Nolan,1
3821 Long Prairie Road Flower Mound TX 75028  - Civitas Senior Living,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,Yes,   ,0,   ,   ,   ,   ,   ,0051U000006A5C5,Civitas Senior Living - DFW,   ,   ,"email invoices to : cc@csrliving.com Corporate Mailing Address: 930 W 1st, Suite 400 Fort Worth, TX 76102",   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,3821 Long Prairie Road,Flower Mound,TX,US,75028,1,Kim Hartz,1
401 Guinn Street Clover SC 29710,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0,   ,   ,   ,   ,   ,0051U000006JptS,Hanover Insurance - CAP Yarns,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,401 Guinn Street,Clover,SC,US,29710,1,Molly Drzazgowski,1
